Precision: FP32
Stability criterion satisfied: 5e-05 <= 0.00444444
Solving 1D Reaction-Diffusion PDE: du/dt = D*d2u/dx2 + lambda*u
Parameters: L=1, T=4, N=101, M=80000, D=0.01, lambda=25
Derived: dx=0.01, dt=5e-05
At time t = 0.000000, Maximum value of u = 1.0000000000e+00
At time t = 0.080000, Maximum value of u = 7.3218626976e+00
At time t = 0.160000, Maximum value of u = 5.3609687805e+01
At time t = 0.240000, Maximum value of u = 3.9252261353e+02
At time t = 0.320000, Maximum value of u = 2.8740000000e+03
At time t = 0.400000, Maximum value of u = 2.1043025391e+04
At time t = 0.480000, Maximum value of u = 1.5407390625e+05
At time t = 0.560000, Maximum value of u = 1.1281077500e+06
At time t = 0.640000, Maximum value of u = 8.2598505000e+06
At time t = 0.720000, Maximum value of u = 6.0477516000e+07
At time t = 0.800000, Maximum value of u = 4.4280768000e+08
At time t = 0.880000, Maximum value of u = 3.2421729280e+09
At time t = 0.960000, Maximum value of u = 2.3738712064e+10
At time t = 1.040000, Maximum value of u = 1.7381166285e+11
At time t = 1.120000, Maximum value of u = 1.2726244475e+12
At time t = 1.200000, Maximum value of u = 9.3179881718e+12
At time t = 1.280000, Maximum value of u = 6.8225014432e+13
At time t = 1.360000, Maximum value of u = 4.9953338556e+14
At time t = 1.440000, Maximum value of u = 3.6575117396e+15
At time t = 1.520000, Maximum value of u = 2.6779797548e+16
At time t = 1.600000, Maximum value of u = 1.9607809042e+17
At time t = 1.680000, Maximum value of u = 1.4356577586e+18
At time t = 1.760000, Maximum value of u = 1.0511685204e+19
At time t = 1.840000, Maximum value of u = 7.6964987112e+19
At time t = 1.920000, Maximum value of u = 5.6352666046e+20
At time t = 2.000000, Maximum value of u = 4.1260651224e+21
At time t = 2.080000, Maximum value of u = 3.0210493078e+22
At time t = 2.160000, Maximum value of u = 2.2119706992e+23
At time t = 2.240000, Maximum value of u = 1.6195732570e+24
At time t = 2.320000, Maximum value of u = 1.1858285361e+25
At time t = 2.400000, Maximum value of u = 8.6824719954e+25
At time t = 2.480000, Maximum value of u = 6.3571885160e+26
At time t = 2.560000, Maximum value of u = 4.6546456815e+27
At time t = 2.640000, Maximum value of u = 3.4080683749e+28
At time t = 2.720000, Maximum value of u = 2.4953377396e+29
At time t = 2.800000, Maximum value of u = 1.8270527646e+30
At time t = 2.880000, Maximum value of u = 1.3377432730e+31
At time t = 2.960000, Maximum value of u = 9.7947701833e+31
At time t = 3.040000, Maximum value of u = 7.1715970974e+32
At time t = 3.120000, Maximum value of u = 5.2509455058e+33
At time t = 3.200000, Maximum value of u = 3.8446698848e+34
At time t = 3.280000, Maximum value of u = 2.8150138514e+35
At time t = 3.360000, Maximum value of u = 2.0611144680e+36
At time t = 3.440000, Maximum value of u = 1.5091187713e+37
At time t = 3.520000, Maximum value of u = 1.1049556572e+38
At time t = 3.600000, Maximum value of u = 0.0000000000e+00
At time t = 3.680000, Maximum value of u = 0.0000000000e+00
At time t = 3.760000, Maximum value of u = 0.0000000000e+00
At time t = 3.840000, Maximum value of u = 0.0000000000e+00
At time t = 3.920000, Maximum value of u = 0.0000000000e+00
At time t = 4.000000, Maximum value of u = 0.0000000000e+00

Simulation finished.
